question,answer,type,source_url,source_title,chunk_id,question_id
In what year did the first uncrewed rovers and lunar soil samples successfully be brought back to Earth by NASA and the Russian Space Agency?,The first uncrewed rovers and lunar soil samples successfully be brought back to Earth by NASA and the Russian Space Agency were in the early 1970s.,factual,https://en.wikipedia.org/wiki/Space_exploration,Space exploration,chunk_6199,q_0
"Given the text: successfully measured a stellar parallax, an apparent shift in the position of a star created by Earth's motion around the Sun, providing the first direct, experimental proof of heliocentrism. Neptune","The text suggests that Neptune was identified as a planet some years later, thanks to its gravitational pull causing a slight but detectable variation in the orbit of Uranus.",comparative,https://en.wikipedia.org/wiki/Solar_System,Solar System,chunk_1777,q_1
"Generate a 'why' or 'how' question about David Smith (sculptor), only outputting the question:

Question: Why did David Smith move to New York in 1926, and what did he do during",Question: What was David Smith's reason for moving to New York in 1926 and what did he do during that period?,inferential,https://en.wikipedia.org/wiki/David_Smith_(sculptor),David Smith (sculptor),chunk_8031,q_2
"Generate a factual question based on the text material: ""Wind turbines generate noise. At a distance of 300 meters (980 ft), this may be around 45 dB, which is slightly l","Based on the given text, the question asked is, ""Generate a factual question based on the text material: Wind turbines generate noise. At a distance of 300 meters (980 ft), this may be around 45 dB, which is slightly louder than a refrigerator."" The answer is that the noise generated by wind turbines at a distance of 300 meters (980 ft) is around",factual,https://en.wikipedia.org/wiki/Wind_power,Wind power,chunk_1164,q_3
"Question: How has Japan's legal system developed independently from Chinese law, and how has it been influenced by European legal systems?","The Japanese legal system has developed independently from Chinese law due to the influence of European legal systems. Since the late 19th century, the judicial system has been largely based on the civil law of Europe, particularly Germany. Japan established a civil code based on the German Bürgerliches Gesetzbuch (BGB) in 1896, which is a comprehensive codification of German civil law. This code has had a significant influence on Japanese legal systems, particularly in areas such as",comparative,https://en.wikipedia.org/wiki/Japan,Japan,chunk_3128,q_4
"""Why did the United Kingdom separate into three separate political entities and retain its separate political, legal, and religious institutions?""","The United Kingdom separated into three separate political entities and retained its separate political, legal, and religious institutions in the mid-17th century due to a series of connected wars (including the English Civil War) that led to the temporary overthrow of the monarchy and the establishment of the short-lived unitary republic of the Commonwealth of England, Scotland, and Ireland. Each country remained a separate political entity and retained its separate political, legal, and religious institutions, including its own parliaments",inferential,https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom,chunk_2966,q_5
"Generate a factual question about Video game based on the text material: ""He ""wrestled with descriptions of this type of game,"" alternating between ""TV game"" and ""television game,"" but eventually woke up one day","The text mentions the confusion in the arcade industry over the term ""video game"" during the early 1970s, and the author eventually settled on the term ""television game"" as a compromise. The author describes this as a ""well-understood"" definition, which implies that it is well-known and understood by the industry.",factual,https://en.wikipedia.org/wiki/Video_game,Video game,chunk_5351,q_6
Generate a question comparing aspects mentioned in the text about Apple Inc. Only output the question.,"What was the reason for Steve Jobs' absence during the company's best non-holiday quarter (Q1 FY 2009), and how did it impact Apple's revenue and profit?",comparative,https://en.wikipedia.org/wiki/Apple_Inc.,Apple Inc.,chunk_794,q_7
"Why did Anne-christine d'Adesky maintain a deep relationship with Haiti and report the 2010 earthquake from a feminist angle, especially noting the impact of the disaster on the lives of","Answer: Anne-christine d'Adesky maintained a deep relationship with Haiti, particularly noting the impact of the 2010 earthquake on the lives of teenage girls. She has contributed to humanitarian projects in East Africa and has conducted extensive research into HIV/AIDS and its treatment worldwide. Her reporting of the 2010 earthquake from a feminist angle was significant as it highlighted the devast",inferential,https://en.wikipedia.org/wiki/Anne-christine_d'Adesky,Anne-christine d'Adesky,chunk_7307,q_8
"Generate a factual question about Cold War based on this text. Only output the question, nothing else.","What was the source of disagreement among historians regarding the Cold War, and what did historians disagree about?",factual,https://en.wikipedia.org/wiki/Cold_War,Cold War,chunk_2675,q_9
"What are some aspects mentioned in the text that are compared in the question?

Only the question asks about aspects, and the text mentions that users can upload pictures and discuss a wide variety of topics on Futaba Channel.","The question asks about aspects that are mentioned in the text, specifically mentioning that Futaba Channel allows users to upload pictures and discuss a wide variety of topics. The text also mentions that users can do so on the website, with the focus on the website itself rather than the specific aspects mentioned in the question.",comparative,https://en.wikipedia.org/wiki/Futaba_Channel,Futaba Channel,chunk_7505,q_10
"""Why did Albert Einstein create the Haas experiment and donate it to the Ampère Museum in Lyon, France?""","The Haas experiment created by Albert Einstein and his daughter Geertruida de Haas-Lorentz, was the only experiment that Einstein conceived, realized, and published himself. It was donated by Geertruida de Haas-Lorentz to the Ampère Museum in Lyon, France in 1961. However, it was lost among the museum's holdings and was rediscovered in 2023",inferential,https://en.wikipedia.org/wiki/Albert_Einstein,Albert Einstein,chunk_2087,q_11
"Generate a factual question about Cloud computing based on the text material:

Question: What is Platform as a Service (PaaS) defined by the NIST as: The capability provided to the consumer is to deploy onto the cloud","The factual question generated by the text material is: What is Platform as a Service (PaaS) defined by the NIST as: The capability provided to the consumer is to deploy onto the cloud infrastructure consumer-created or acquired applications created using programming languages, libraries, services, and tools supported by the provider.",factual,https://en.wikipedia.org/wiki/Cloud_computing,Cloud computing,chunk_242,q_12
"Question: Which early Christian authors produced theological and apologetic works aimed at defending the faith, and what are some notable works by them?","Answer: The early Christian authors who produced theological and apologetic works aimed at defending the faith were known as the Church Fathers, and their works include:

1. Ignatius of Antioch - a leading figure in the early Christian church, known for his letters and commentaries.
2. Polycarp - a disciple of St. Paul who wrote several letters and was martyred in the early 2nd century.
3. Justin Mart",comparative,https://en.wikipedia.org/wiki/Christianity,Christianity,chunk_5475,q_13
"""How does the hypothalamus regulate food intake through autonomic signals, and what hormone release by the digestive system is involved?""","The hypothalamus plays a crucial role in regulating food intake through autonomic signals. The hypoglossal nucleus, located in the hypothalamus, stimulates the digestive system by releasing a hormone called gastrin, which stimulates the secretion of digestive enzymes and gastric acid. The vagus nerve, which runs from the hypothalamus to the stomach, also",inferential,https://en.wikipedia.org/wiki/Human_brain,Human brain,chunk_1420,q_14
"What is the main section of the Suez Canal and its southern access channel, and what is the length of the canal and the amount of seawater it can handle without locks?",The main section of the Suez Canal is a 10078-mile-long canal that connects the Mediterranean Sea to the Red Sea. It has a length of 512 miles (823 kilometers) and can handle seawater without locks.,factual,https://en.wikipedia.org/wiki/Egypt,Egypt,chunk_3638,q_15
